date,name,type,seater,m_year,price,label
2023-08-01,모닝 어반 (만26세),휘발유,5인승,2021~22년형,80000,완전자차포함
2023-08-01,쏘나타뉴라이즈 (만26세),LPG,5인승,2017~18년형,81400,완전자차포함
2023-08-01,올뉴아반떼,휘발유,5인승,2020~22년형,87220,완전자차포함
2023-08-01,올뉴아반떼 (만26세),휘발유,5인승,2020~21년형,87220,완전자차포함
2023-08-01,2022 올뉴K3,휘발유,5인승,2022년형,87220,완전자차포함
2023-08-01,2022 더뉴레이,휘발유,5인승,2022년형,88320,완전자차포함
2023-08-01,쏘나타 DN8 (만26세),LPG,5인승,2019~21년형,90640,완전자차포함
2023-08-01,2018 i30 (만26세),휘발유,5인승,2018년형,91080,완전자차포함
2023-08-01,2022 트레일블레이저,휘발유,5인승,2022년형,92400,완전자차포함
2023-08-01,2023 더뉴모닝,휘발유,5인승,2023년형,93240,완전자차포함
2023-08-01,베뉴,휘발유,5인승,2019~22년형,94570,완전자차포함
2023-08-01,2023 더뉴레이,휘발유,5인승,2023년형,94720,완전자차포함
2023-08-01,3세대 K5 (만26세),LPG,5인승,2020~21년형,95040,완전자차포함
2023-08-01,쏘울 부스터 (만26세),휘발유,5인승,2019~21년형,96200,완전자차포함
2023-08-01,2020 올뉴K3 (만26세),휘발유,5인승,2020~21년형,97960,완전자차포함
2023-08-01,2023 베뉴,휘발유,5인승,2023년형,98000,완전자차포함
2023-08-01,올뉴카니발 9인승,경유,9인승,2015~18년형,98800,완전자차포함
2023-08-01,더뉴스타렉스 12인승,경유,12인승,2018~20년형,98800,완전자차포함
2023-08-01,더뉴K5 (휘발유/만26세),휘발유,5인승,2018~19년형,99960,완전자차포함
2023-08-01,쏘나타 DN8,LPG,5인승,2019~20년형,100940,완전자차포함
2023-08-01,2020 K5 DL3,LPG,5인승,2020~21년형,100940,완전자차포함
2023-08-01,그랜저IG (휘발유/LPG),휘발유/LPG,5인승,2017~19년형,102000,완전자차포함
2023-08-01,더뉴스타렉스어반 9인승,경유,9인승,2018~19년형,102600,완전자차포함
2023-08-01,2018 더뉴카니발 9인승,경유,9인승,2018~19년형,102600,완전자차포함
2023-08-01,2019 더뉴카니발 11인승,경유,11인승,2019~20년형,102600,완전자차포함
2023-08-01,2020 코란도 (휘발유),휘발유,5인승,2020년형,103400,완전자차포함
2023-08-01,쏘나타 DN8 (휘발유),휘발유,5인승,2019~20년형,105840,완전자차포함
2023-08-01,3세대 K5 (휘발유),휘발유,5인승,2020~21년형,105840,완전자차포함
2023-08-01,2020 코나 일렉트릭,전기,5인승,2020년형,106330,완전자차포함
2023-08-01,LF쏘나타 (휘발유/만26세),휘발유,5인승,2016년형,107160,완전자차포함
2023-08-01,캐스퍼,휘발유,4인승,2022년형,107520,완전자차포함
2023-08-01,쏘나타 디 엣지,LPG,5인승,2023년형,107800,완전자차포함
2023-08-01,쏘나타 디 엣지 (휘발유),휘발유,5인승,2023년형,107800,완전자차포함
2023-08-01,티볼리에어 (경유/휘발유),경유/휘발유,5인승,2016~18년형,108000,완전자차포함
2023-08-01,2022 올뉴K3 (만26세),휘발유,5인승,2022~23년형,108580,완전자차포함
2023-08-01,올뉴K5 (휘발유/만26세),휘발유,5인승,2016년형,109040,완전자차포함
2023-08-01,코나 / 스토닉,휘발유,5인승,2017~18년형,109200,완전자차포함
2023-08-01,2020 쏘나타 (휘/만26세),휘발유,5인승,2020~21년형,110160,완전자차포함
2023-08-01,K7 프리미어 (휘발유/LPG),휘발유/LPG,5인승,2019~21년형,112000,완전자차포함
2023-08-01,더뉴그랜저 (휘발유/LPG),휘발유/LPG,5인승,2020~22년형,112000,완전자차포함
2023-08-01,2022 K5 (휘발유),휘발유,5인승,2022년형,112200,완전자차포함
2023-08-01,2020 QM6 LPE,LPG,5인승,2020년형,112200,완전자차포함
2023-08-01,2021 4세대 투싼,경유,5인승,2021년형,112200,완전자차포함
2023-08-01,올뉴쏘렌토 7인승,경유,7인승,2017~19년형,112200,완전자차포함
2023-08-01,토레스,휘발유,5인승,2022~23년형,113950,완전자차포함
2023-08-01,2021 쏘나타 DN8 (휘),휘발유,5인승,2021~22년형,114480,완전자차포함
2023-08-01,2022 K5 (만26세),LPG,5인승,2022~23년형,114480,완전자차포함
2023-08-01,2021 티볼리에어,휘발유,5인승,2020~21년형,115710,완전자차포함
2023-08-01,디올뉴스포티지,경유,5인승,2021~22년형,116600,완전자차포함
2023-08-01,2021 4세대 투싼 (휘발유),휘발유,5인승,2021년형,117300,완전자차포함
2023-08-01,올뉴K7 (휘발유/LPG),휘발유/LPG,5인승,2016~17년형,117300,완전자차포함
2023-08-01,4세대카니발 9인승,경유,9인승,2020~22년형,118900,완전자차포함
2023-08-01,4세대카니발 9인승(휘발유),휘발유,9인승,2022~23년형,118900,완전자차포함
2023-08-01,스타리아 9인승,경유,9인승,2021년형,118900,완전자차포함
2023-08-01,올뉴카니발 11인승,경유,11인승,2015~18년형,119600,완전자차포함
2023-08-01,2019투싼 / 스포티지더볼드,경유,5인승,2019년형,121500,완전자차포함
2023-08-01,4세대 쏘렌토 (하이브리드),하이브리드,7인승,2021년형,121800,완전자차포함
2023-08-01,2022 QM6 (휘발유),휘발유,5인승,2022년형,121900,완전자차포함
2023-08-01,2023 쏘나타 DN8 (휘),휘발유,5인승,2023년형,123200,완전자차포함
2023-08-01,더뉴싼타페 7인승,경유,7인승,2020년형,124700,완전자차포함
2023-08-01,QM6 5인승,경유,5인승,2017~19년형,124950,완전자차포함
2023-08-01,아반떼 (하이브리드),하이브리드,5인승,2022년형,126000,완전자차포함
2023-08-01,4세대 투싼 (하이브리드),하이브리드,5인승,2021년형,126500,완전자차포함
2023-08-01,4세대쏘렌토 7인승,경유,7인승,2020~21년형,127600,완전자차포함
2023-08-01,더뉴싼타페 7인승 (휘),휘발유,7인승,2022년형,127600,완전자차포함
2023-08-01,K8 (휘발유),휘발유,5인승,2021~22년형,130200,완전자차포함
2023-08-01,그랜드스타렉스 12인승,경유,12인승,2015~17년형,131150,완전자차포함
2023-08-01,K8 (3.5LPG),LPG,5인승,2021~23년형,132000,완전자차포함
2023-08-01,디올뉴그랜저 (LPG),LPG,5인승,2023년형,134400,완전자차포함
2023-08-01,쉐보레 트래버스 (7인승),휘발유,7인승,2019년형,135450,완전자차포함
2023-08-01,베리뉴 티볼리(경유/휘발유),경유/휘발유,5인승,2020년형,136010,완전자차포함
2023-08-01,싼타페TM 7인승,경유,7인승,2018~19년형,137200,완전자차포함
2023-08-01,셀토스,휘발유,5인승,2020년형,137600,완전자차포함
2023-08-01,팰리세이드2.2 (8인승),경유,8인승,2019~20년형,138600,완전자차포함
2023-08-01,팰리세이드3.8 (8인승),휘발유,8인승,2019~20년형,138600,완전자차포함
2023-08-01,4세대카니발 7인승,경유,7인승,2021~22년형,139400,완전자차포함
2023-08-01,2021 아이오닉5,전기,5인승,2021~22년형,139650,완전자차포함
2023-08-01,디올뉴그랜저,휘발유,5인승,2023년형,140800,완전자차포함
2023-08-01,올뉴카니발리무진 7인승,경유,7인승,2017~18년형,153000,완전자차포함
2023-08-01,더뉴모하비 7인승,경유,7인승,2017~18년형,154350,완전자차포함
2023-08-01,더뉴카니발리무진 7인승,경유,7인승,2018~19년형,155000,완전자차포함
2023-08-01,4세대카니발 11인승,경유,11인승,2020~21년형,156600,완전자차포함
2023-08-01,EV6 (전기차),전기,5인승,2022년형,156800,완전자차포함
2023-08-01,2023 4세대카니발 9인승,경유,9인승,2023년형,156800,완전자차포함
2023-08-01,2023 4세대카니발 11인승,경유,11인승,2023년형,156800,완전자차포함
2023-08-01,더뉴팰리세이드 (휘),휘발유,8인승,2023년형,160600,완전자차포함
2023-08-01,제네시스 GV70 (휘),휘발유,5인승,2021년형,161700,완전자차포함
2023-08-01,제네시스 G80,휘발유,5인승,2017~19년형,162800,완전자차포함
2023-08-01,더뉴카니발 하이리무진,경유,7인승,2018~19년형,162800,완전자차포함
2023-08-01,더 K9,휘발유,5인승,2018~20년형,163800,완전자차포함
2023-08-01,제네시스 GV70,경유,5인승,2021년형,165550,완전자차포함
2023-08-01,올뉴제네시스 G80,휘발유,5인승,2020~21년형,167700,완전자차포함
2023-08-01,4세대쏘렌토 7인승 (휘),휘발유,7인승,2021년형,168200,완전자차포함
2023-08-01,2023 쏘렌토 5인승,경유,5인승,2023년형,173600,완전자차포함
2023-08-01,제네시스 GV80 (7인승),경유,7인승,2020~21년형,178500,완전자차포함
2023-08-01,2023 4세대카니발 7인승,경유,7인승,2023년형,183600,완전자차포함
2023-08-01,스타리아 11인승,경유,11인승,2022년형,194300,완전자차포함
2023-08-01,더뉴팰리세이드,경유,8인승,2023년형,204400,완전자차포함
2023-08-01,2023 제네시스 GV80(휘),휘발유,7인승,2023년형,275600,완전자차포함
2023-08-01,쏘울 부스터 (만26세),휘발유,5인승,2019~21년형,74400,자차미포함
2023-08-01,2020 올뉴K3 (만26세),휘발유,5인승,2020~21년형,81200,자차미포함
2023-08-01,베뉴,휘발유,5인승,2019~22년형,82500,자차미포함
2023-08-01,2018 i30 (만26세),휘발유,5인승,2018년형,82550,자차미포함
2023-08-01,2023 더뉴모닝,휘발유,5인승,2023년형,84500,자차미포함
2023-08-01,LF쏘나타 (휘발유/만26세),휘발유,5인승,2016년형,84800,자차미포함
2023-08-01,티볼리에어 (휘발유),휘발유,5인승,2018~20년형,85000,자차미포함
2023-08-01,더뉴K5 (휘발유/만26세),휘발유,5인승,2018~19년형,85800,자차미포함
2023-08-01,스토닉 (휘발유),휘발유,5인승,2018년형,85800,자차미포함
2023-08-01,코나 (휘발유),휘발유,5인승,2017~18년형,85800,자차미포함
2023-08-01,그랜저IG,휘발유,5인승,2017~19년형,85800,자차미포함
2023-08-01,2020 올뉴아반떼,휘발유,5인승,2020~21년형,88000,자차미포함
2023-08-01,올뉴아반떼 (만26세),휘발유,5인승,2020~21년형,88000,자차미포함
2023-08-01,올뉴K5 (휘발유/만26세),휘발유,5인승,2016년형,88000,자차미포함
2023-08-01,2023 베뉴,휘발유,5인승,2023년형,89250,자차미포함
2023-08-01,쏘나타 DN8 (만26세),LPG,5인승,2019~21년형,91000,자차미포함
2023-08-01,2022 올뉴K3 (만26세),휘발유,5인승,2022년형,91200,자차미포함
2023-08-01,K7 프리미어,휘발유,5인승,2019~21년형,91200,자차미포함
2023-08-01,K7 프리미어 (LPG),LPG,5인승,2019~20년형,91200,자차미포함
2023-08-01,2020 더뉴그랜저 (LPG),LPG,5인승,2020~22년형,91200,자차미포함
2023-08-01,2020 더뉴그랜저,휘발유,5인승,2019~21년형,91200,자차미포함
2023-08-01,2022 K5 (만26세),LPG,5인승,2022~23년형,92500,자차미포함
2023-08-01,2021 티볼리에어,휘발유,5인승,2020~21년형,92750,자차미포함
2023-08-01,올뉴K7 (LPG),LPG,5인승,2016년형,94600,자차미포함
2023-08-01,올뉴K7,휘발유,5인승,2016~17년형,94600,자차미포함
2023-08-01,2023 더뉴레이,휘발유,5인승,2023년형,94900,자차미포함
2023-08-01,2022 K5 (휘발유),휘발유,5인승,2022년형,95000,자차미포함
