,date,name,type,seater,m_year,price,label,year_model,made,category,r_rate,day,holiday,year,month,days,peak_season
0,2023-08-01,모닝 어반,휘발유,5,2021,80000,완전자차포함,2,국산차,경차,4,화요일,평일,2023,8,1,성수기
1,2023-08-01,쏘나타뉴라이즈,LPG,5,2017,81400,완전자차포함,6,국산차,중형차,4,화요일,평일,2023,8,1,성수기
2,2023-08-01,올뉴아반떼,휘발유,5,2020,87220,완전자차포함,3,국산차,준중형,2,화요일,평일,2023,8,1,성수기
3,2023-08-01,올뉴K3,휘발유,5,2022,87220,완전자차포함,1,국산차,준중형,3,화요일,평일,2023,8,1,성수기
4,2023-08-01,더뉴레이,휘발유,5,2022,88320,완전자차포함,1,국산차,경차,3,화요일,평일,2023,8,1,성수기
5,2023-08-01,쏘나타 DN8,LPG,5,2019,90640,완전자차포함,4,국산차,중형차,2,화요일,평일,2023,8,1,성수기
6,2023-08-01,i30,휘발유,5,2018,91080,완전자차포함,5,국산차,준중형,1,화요일,평일,2023,8,1,성수기
7,2023-08-01,트레일블레이저,휘발유,5,2022,92400,완전자차포함,1,외제차,소형SUV,4,화요일,평일,2023,8,1,성수기
8,2023-08-01,더뉴모닝,휘발유,5,2023,93240,완전자차포함,0,국산차,경차,3,화요일,평일,2023,8,1,성수기
9,2023-08-01,베뉴,휘발유,5,2019,94570,완전자차포함,4,국산차,소형SUV,1,화요일,평일,2023,8,1,성수기
10,2023-08-01,더뉴레이,휘발유,5,2023,94720,완전자차포함,0,국산차,경차,3,화요일,평일,2023,8,1,성수기
11,2023-08-01,3세대 K5,LPG,5,2020,95040,완전자차포함,3,국산차,중형차,2,화요일,평일,2023,8,1,성수기
12,2023-08-01,쏘울 부스터,휘발유,5,2019,96200,완전자차포함,4,국산차,소형SUV,3,화요일,평일,2023,8,1,성수기
13,2023-08-01,올뉴K3,휘발유,5,2020,97960,완전자차포함,3,국산차,준중형,3,화요일,평일,2023,8,1,성수기
14,2023-08-01,베뉴,휘발유,5,2023,98000,완전자차포함,0,국산차,소형SUV,1,화요일,평일,2023,8,1,성수기
15,2023-08-01,올뉴카니발,경유,9,2015,98800,완전자차포함,8,국산차,대형SUV,1,화요일,평일,2023,8,1,성수기
16,2023-08-01,더뉴스타렉스,경유,12,2018,98800,완전자차포함,5,국산차,승합차,1,화요일,평일,2023,8,1,성수기
17,2023-08-01,더뉴K5,휘발유,5,2018,99960,완전자차포함,5,국산차,중형차,3,화요일,평일,2023,8,1,성수기
18,2023-08-01,쏘나타 DN8,LPG,5,2019,100940,완전자차포함,4,국산차,중형차,2,화요일,평일,2023,8,1,성수기
19,2023-08-01,3세대 K5,LPG,5,2020,100940,완전자차포함,3,국산차,중형차,2,화요일,평일,2023,8,1,성수기
20,2023-08-01,더뉴스타렉스어반,경유,9,2018,102600,완전자차포함,5,국산차,승합차,3,화요일,평일,2023,8,1,성수기
21,2023-08-01,더뉴카니발,경유,9,2018,102600,완전자차포함,5,국산차,대형SUV,2,화요일,평일,2023,8,1,성수기
22,2023-08-01,더뉴카니발,경유,11,2019,102600,완전자차포함,4,국산차,대형SUV,2,화요일,평일,2023,8,1,성수기
23,2023-08-01,코란도,휘발유,5,2020,103400,완전자차포함,3,국산차,준중형,3,화요일,평일,2023,8,1,성수기
24,2023-08-01,쏘나타 DN8,휘발유,5,2019,105840,완전자차포함,4,국산차,중형차,2,화요일,평일,2023,8,1,성수기
25,2023-08-01,3세대 K5,휘발유,5,2020,105840,완전자차포함,3,국산차,중형차,2,화요일,평일,2023,8,1,성수기
26,2023-08-01,코나 일렉트릭,전기,5,2020,106330,완전자차포함,3,국산차,소형SUV,3,화요일,평일,2023,8,1,성수기
27,2023-08-01,LF쏘나타,휘발유,5,2016,107160,완전자차포함,7,국산차,중형차,3,화요일,평일,2023,8,1,성수기
28,2023-08-01,캐스퍼,휘발유,4,2022,107520,완전자차포함,1,국산차,경차,1,화요일,평일,2023,8,1,성수기
29,2023-08-01,쏘나타 디 엣지,LPG,5,2023,107800,완전자차포함,0,국산차,중형차,1,화요일,평일,2023,8,1,성수기
30,2023-08-01,쏘나타 디 엣지,휘발유,5,2023,107800,완전자차포함,0,국산차,중형차,1,화요일,평일,2023,8,1,성수기
31,2023-08-01,올뉴K3,휘발유,5,2022,108580,완전자차포함,1,국산차,준중형,3,화요일,평일,2023,8,1,성수기
32,2023-08-01,올뉴K5,휘발유,5,2016,109040,완전자차포함,7,국산차,중형차,3,화요일,평일,2023,8,1,성수기
33,2023-08-01,쏘나타,휘발유,5,2020,110160,완전자차포함,3,국산차,중형차,1,화요일,평일,2023,8,1,성수기
34,2023-08-01,K5,휘발유,5,2022,112200,완전자차포함,1,국산차,중형차,1,화요일,평일,2023,8,1,성수기
35,2023-08-01,QM6 LPE,LPG,5,2020,112200,완전자차포함,3,국산차,중형SUV,3,화요일,평일,2023,8,1,성수기
36,2023-08-01,4세대 투싼,경유,5,2021,112200,완전자차포함,2,국산차,중형SUV,1,화요일,평일,2023,8,1,성수기
37,2023-08-01,올뉴쏘렌토,경유,7,2017,112200,완전자차포함,6,국산차,중형SUV,3,화요일,평일,2023,8,1,성수기
38,2023-08-01,토레스,휘발유,5,2022,113950,완전자차포함,1,국산차,중형SUV,1,화요일,평일,2023,8,1,성수기
39,2023-08-01,쏘나타 DN8,휘발유,5,2021,114480,완전자차포함,2,국산차,중형차,2,화요일,평일,2023,8,1,성수기
40,2023-08-01,K5,LPG,5,2022,114480,완전자차포함,1,국산차,중형차,1,화요일,평일,2023,8,1,성수기
41,2023-08-01,티볼리에어,휘발유,5,2020,115710,완전자차포함,3,국산차,소형SUV,2,화요일,평일,2023,8,1,성수기
42,2023-08-01,디올뉴스포티지,경유,5,2021,116600,완전자차포함,2,국산차,중형SUV,3,화요일,평일,2023,8,1,성수기
43,2023-08-01,4세대 투싼,휘발유,5,2021,117300,완전자차포함,2,국산차,중형SUV,1,화요일,평일,2023,8,1,성수기
44,2023-08-01,4세대카니발,경유,9,2020,118900,완전자차포함,3,국산차,대형SUV,1,화요일,평일,2023,8,1,성수기
45,2023-08-01,4세대카니발,휘발유,9,2022,118900,완전자차포함,1,국산차,대형SUV,1,화요일,평일,2023,8,1,성수기
46,2023-08-01,스타리아,경유,9,2021,118900,완전자차포함,2,국산차,승합차,1,화요일,평일,2023,8,1,성수기
47,2023-08-01,올뉴카니발,경유,11,2015,119600,완전자차포함,8,국산차,대형SUV,1,화요일,평일,2023,8,1,성수기
48,2023-08-01,4세대 쏘렌토,하이브리드,7,2021,121800,완전자차포함,2,국산차,중형SUV,1,화요일,평일,2023,8,1,성수기
49,2023-08-01,QM6,휘발유,5,2022,121900,완전자차포함,1,국산차,중형SUV,2,화요일,평일,2023,8,1,성수기
50,2023-08-01,쏘나타 DN8,휘발유,5,2023,123200,완전자차포함,0,국산차,중형차,2,화요일,평일,2023,8,1,성수기
