date,name,price,person,level,review_count,review_group,score,city,city_details,day,month,peak
2023-08-01,Premium 리벤시아 풀빌라&호텔,962500,4인,가족호텔,34.0,500 미만,4.2,제주시,한림읍,1,August,성수기
2023-08-01,갤러리 호텔 비앤비,52000,2인,비지니스,261.0,500 미만,4.3,제주시,연동,1,August,성수기
2023-08-01,골드원 호텔&스위트,591800,4인,4성급,147.0,500 미만,4.8,서귀포시,서호동,1,August,성수기
2023-08-01,골든튤립 제주성산호텔,123720,2인,비지니스,376.0,500 미만,4.5,서귀포시,성산읍,1,August,성수기
2023-08-01,그랜드 밀리언스 호텔 서귀포,50240,2인,비지니스,1326.0,500 이상,4.7,서귀포시,서호동,1,August,성수기
2023-08-01,그랜드 조선 제주,672237,2인,5성급,273.0,500 미만,4.8,서귀포시,색달동,1,August,성수기
2023-08-01,그랜드 하얏트 제주,831653,2인,5성급,800.0,500 이상,4.8,제주시,노형동,1,August,성수기
2023-08-01,글로스터호텔제주,151200,2인,비지니스,897.0,500 이상,4.7,제주시,연동,1,August,성수기
2023-08-01,까사로마 호텔,251000,4인,4성급,847.0,500 이상,4.8,서귀포시,서귀동,1,August,성수기
2023-08-01,꼬뜨도르 호텔,90000,2인,관광,211.0,500 미만,4.1,제주시,구좌읍,1,August,성수기
2023-08-01,노블피아 호텔,100000,2인,비지니스,1635.0,500 이상,4.7,서귀포시,서귀동,1,August,성수기
2023-08-01,노형호텔,80000,4인,비지니스,84.0,500 미만,4.5,제주시,노형동,1,August,성수기
2023-08-01,다인오세아노호텔,714760,2인,4성급,223.0,500 미만,4.5,제주시,애월읍,1,August,성수기
2023-08-01,더 그랜드 섬오름,363000,4인,4성급,238.0,500 미만,4.7,서귀포시,법환동,1,August,성수기
2023-08-01,더 베스트 제주 성산,116000,4인,비지니스,1634.0,500 이상,4.5,서귀포시,성산읍,1,August,성수기
2023-08-01,라마다 바이 윈덤 제주 더 함덕 호텔,196778,4인,비지니스,211.0,500 미만,4.5,제주시,조천읍,1,August,성수기
2023-08-01,라마다 제주시티 호텔,135143,2인,비지니스,1646.0,500 이상,4.6,제주시,이도이동,1,August,성수기
2023-08-01,라마다 프라자 제주 호텔,271579,2인,5성급,328.0,500 미만,4.7,제주시,삼도이동,1,August,성수기
2023-08-01,라마다 프라자 제주 호텔,291579,4인,5성급,328.0,500 미만,4.7,제주시,삼도이동,1,August,성수기
2023-08-01,랜딩관 제주신화월드 호텔앤리조트,341132,4인,5성급,1395.0,500 이상,4.8,서귀포시,안덕면,1,August,성수기
2023-08-01,롯데시티호텔 제주,211255,2인,4성급,740.0,500 이상,4.8,제주시,연동,1,August,성수기
2023-08-01,롯데호텔 제주,766579,2인,5성급,644.0,500 이상,4.8,서귀포시,색달동,1,August,성수기
2023-08-01,리시온 호텔,74967,2인,1성급,205.0,500 미만,4.1,서귀포시,표선면,1,August,성수기
2023-08-01,머큐어 앰배서더 제주,415500,2인,비지니스,17.0,500 미만,4.8,서귀포시,안덕면,1,August,성수기
2023-08-01,메리어트관 제주신화월드 호텔앤리조트,437800,4인,5성급,275.0,500 미만,4.8,서귀포시,안덕면,1,August,성수기
2023-08-01,메종 글래드 제주,223427,4인,5성급,1296.0,500 이상,4.6,제주시,연동,1,August,성수기
2023-08-01,모멘토호텔,72000,4인,관광,71.0,500 미만,4.4,서귀포시,서귀동,1,August,성수기
2023-08-01,모슬포호텔,51333,2인,1성급,450.0,500 미만,4.3,서귀포시,대정읍,1,August,성수기
2023-08-01,미주 호텔,58000,4인,관광,27.0,500 미만,3.6,제주시,연동,1,August,성수기
2023-08-01,베니키아 호텔 제주,115200,4인,3성급,531.0,500 이상,4.3,제주시,애월읍,1,August,성수기
2023-08-01,베스트웨스턴 제주,117500,2인,4성급,2183.0,500 이상,4.5,제주시,노형동,1,August,성수기
2023-08-01,베이힐풀앤빌라,1091200,4인,4성급,35.0,500 미만,4.8,서귀포시,하예동,1,August,성수기
2023-08-01,브라운스위트 제주 호텔,135000,2인,비지니스,1935.0,500 이상,4.3,서귀포시,성산읍,1,August,성수기
2023-08-01,블랙샌즈호텔 제주,62500,4인,3성급,484.0,500 미만,4.5,제주시,삼양이동,1,August,성수기
2023-08-01,블룸 호텔,182333,2인,3성급,57.0,500 미만,4.6,서귀포시,색달동,1,August,성수기
2023-08-01,비치스토리호텔,77500,2인,관광,104.0,500 미만,4.3,제주시,조천읍,1,August,성수기
2023-08-01,비케이호텔 인 제주,69900,4인,3성급,182.0,500 미만,4.7,서귀포시,서귀동,1,August,성수기
2023-08-01,빠레브호텔,140500,4인,4성급,454.0,500 미만,4.7,서귀포시,강정동,1,August,성수기
2023-08-01,사하라 관광호텔,72500,4인,1성급,42.0,500 미만,4.4,제주시,삼도일동,1,August,성수기
2023-08-01,샐리스 호텔,139000,2인,가족호텔,43.0,500 미만,4.5,제주시,애월읍,1,August,성수기
2023-08-01,서귀포 JS호텔,101267,2인,비지니스,889.0,500 이상,4.6,서귀포시,법환동,1,August,성수기
2023-08-01,서귀포 런,70500,4인,관광,319.0,500 미만,4.8,서귀포시,서귀동,1,August,성수기
2023-08-01,서귀포 브리즈베이 호텔,114000,4인,3성급,139.0,500 미만,4.7,서귀포시,성산읍,1,August,성수기
2023-08-01,서귀포 칼 호텔,266200,2인,5성급,249.0,500 미만,4.6,서귀포시,토평동,1,August,성수기
2023-08-01,성산 아쿠아비치호텔,86000,2인,비지니스,245.0,500 미만,4.2,서귀포시,성산읍,1,August,성수기
2023-08-01,성산 아쿠아비치호텔,56000,4인,비지니스,245.0,500 미만,4.2,서귀포시,성산읍,1,August,성수기
2023-08-01,성산비치호텔,58500,4인,2성급,84.0,500 미만,4.3,서귀포시,성산읍,1,August,성수기
2023-08-01,솔동산스테이,205995,4인,레지던스,57.0,500 미만,4.9,서귀포시,서귀동,1,August,성수기
2023-08-01,스와브 호텔,137000,2인,관광,271.0,500 미만,4.7,서귀포시,서홍동,1,August,성수기
2023-08-01,스위트 호텔 제주,302667,2인,5성급,183.0,500 미만,4.7,서귀포시,색달동,1,August,성수기
2023-08-01,스위트메이 서귀포 호텔,84143,2인,비지니스,317.0,500 미만,4.7,서귀포시,강정동,1,August,성수기
2023-08-01,스타즈호텔 제주 로베로,63100,2인,3성급,1316.0,500 이상,4.3,제주시,삼도이동,1,August,성수기
2023-08-01,신라스테이 제주,195118,2인,4성급,979.0,500 이상,4.7,제주시,연동,1,August,성수기
2023-08-01,신신호텔 서귀포점,81938,4인,4성급,913.0,500 이상,4.6,서귀포시,서귀동,1,August,성수기
2023-08-01,신신호텔 제주공항,111276,4인,비지니스,592.0,500 이상,4.3,제주시,연동,1,August,성수기
2023-08-01,신신호텔 제주월드컵점,52248,2인,비지니스,1633.0,500 이상,4.5,서귀포시,서호동,1,August,성수기
2023-08-01,신신호텔 천지연점,80683,4인,비지니스,1205.0,500 이상,4.5,서귀포시,서귀동,1,August,성수기
2023-08-01,신화관 제주신화월드 호텔앤리조트,619319,2인,5성급,933.0,500 이상,4.8,서귀포시,안덕면,1,August,성수기
2023-08-01,심스호텔,65000,2인,비지니스,271.0,500 미만,4.3,제주시,건입동,1,August,성수기
2023-08-01,썬라이즈호텔 섭지코지점,85000,2인,비지니스,92.0,500 미만,4.4,서귀포시,성산읍,1,August,성수기
2023-08-01,썬라이즈호텔 성산점,120000,2인,2성급,105.0,500 미만,4.5,서귀포시,성산읍,1,August,성수기
2023-08-01,씨클리프호텔 제주,164000,2인,관광,8.0,500 미만,4.4,제주시,애월읍,1,August,성수기
2023-08-01,아스타 호텔,99000,2인,4성급,791.0,500 이상,4.7,제주시,삼도일동,1,August,성수기
2023-08-01,아시아호텔 제주,80500,2인,비지니스,519.0,500 이상,4.6,제주시,노형동,1,August,성수기
2023-08-01,아이리스호텔,74233,4인,부티크,4.0,500 미만,5.0,서귀포시,서귀동,1,August,성수기
2023-08-01,아이진 호텔,78800,2인,3성급,85.0,500 미만,4.4,제주시,연동,1,August,성수기
2023-08-01,알리바 호텔,81000,4인,비지니스,80.0,500 미만,4.2,제주시,삼도일동,1,August,성수기
2023-08-01,애월스테이 인 제주,252500,2인,부티크,136.0,500 미만,4.8,제주시,애월읍,1,August,성수기
2023-08-01,어반 아일랜드,82667,2인,3성급,310.0,500 미만,4.4,제주시,연동,1,August,성수기
2023-08-01,에벤에셀호텔,180000,2인,관광,57.0,500 미만,4.8,제주시,조천읍,1,August,성수기
2023-08-01,에이바 호텔 함덕,125000,2인,비지니스,5.0,500 미만,4.3,제주시,조천읍,1,August,성수기
2023-08-01,에코랜드 호텔,450800,4인,5성급,147.0,500 미만,4.8,제주시,조천읍,1,August,성수기
2023-08-01,엠스테이호텔 제주,150000,2인,비지니스,1296.0,500 이상,4.3,서귀포시,서귀동,1,August,성수기
2023-08-01,오드리 인 제주 호텔,87000,2인,3성급,218.0,500 미만,4.2,제주시,이호일동,1,August,성수기
2023-08-01,오션 그랜드 호텔,175000,4인,3성급,443.0,500 미만,4.1,제주시,조천읍,1,August,성수기
2023-08-01,오션스위츠 제주,170000,4인,4성급,699.0,500 이상,4.5,제주시,삼도이동,1,August,성수기
2023-08-01,위드스테이호텔,100833,2인,비지니스,933.0,500 이상,4.5,제주시,노형동,1,August,성수기
2023-08-01,윈스카이호텔,54760,4인,비지니스,420.0,500 미만,4.6,서귀포시,강정동,1,August,성수기
2023-08-01,유탑유블레스호텔 제주함덕,255887,4인,4성급,1003.0,500 이상,4.6,제주시,조천읍,1,August,성수기
2023-08-01,제이앤비 가족호텔,290000,4인,관광,45.0,500 미만,4.6,서귀포시,토평동,1,August,성수기
2023-08-01,제주 RA 관광호텔,47500,4인,비지니스,501.0,500 이상,4.4,제주시,오라이동,1,August,성수기
2023-08-01,제주 갤럭시호텔,85429,4인,3성급,74.0,500 미만,4.7,제주시,용담일동,1,August,성수기
2023-08-01,제주 글레즈하임호텔,168450,2인,비지니스,370.0,500 미만,4.7,서귀포시,강정동,1,August,성수기
2023-08-01,제주 글레즈하임호텔,171229,4인,비지니스,370.0,500 미만,4.7,서귀포시,강정동,1,August,성수기
2023-08-01,제주 금강산콘도,120000,4인,콘도,8.0,500 미만,3.5,제주시,한림읍,1,August,성수기
2023-08-01,제주 노블레스 관광호텔,98000,4인,3성급,130.0,500 미만,4.5,제주시,용담이동,1,August,성수기
2023-08-01,제주 노블레스 호텔,74000,4인,부티크,20.0,500 미만,4.3,제주시,연동,1,August,성수기
2023-08-01,제주 담스테이,105000,2인,비지니스,68.0,500 미만,4.3,제주시,삼도이동,1,August,성수기
2023-08-01,제주 더스테이센추리호텔,61600,4인,2성급,244.0,500 미만,4.3,제주시,애월읍,1,August,성수기
2023-08-01,제주 디아일랜드 블루,211545,4인,레지던스,491.0,500 미만,4.4,서귀포시,서귀동,1,August,성수기
2023-08-01,제주 레슬리 호텔,86667,4인,관광,488.0,500 미만,4.7,제주시,노형동,1,August,성수기
2023-08-01,제주 로긴호텔 (구 제주 오슬로호텔) ,78000,4인,2성급,474.0,500 미만,4.7,제주시,용담삼동,1,August,성수기
2023-08-01,제주 리치호텔,139250,4인,비지니스,361.0,500 미만,4.5,제주시,애월읍,1,August,성수기
2023-08-01,제주 메이 더 호텔,124600,2인,3성급,162.0,500 미만,4.2,제주시,구좌읍,1,August,성수기
2023-08-01,제주 메이저 호텔,70000,4인,비지니스,16.0,500 미만,4.2,제주시,연동,1,August,성수기
2023-08-01,제주 부영호텔&리조트,230200,2인,5성급,974.0,500 이상,4.7,서귀포시,중문동,1,August,성수기
2023-08-01,제주 브릭스 호텔,165200,2인,관광,64.0,500 미만,4.8,서귀포시,호근동,1,August,성수기
2023-08-01,제주 삼다호텔,57000,4인,비지니스,50.0,500 미만,4.3,제주시,용담삼동,1,August,성수기
2023-08-01,제주 센트럴시티 호텔,92114,2인,비지니스,595.0,500 이상,4.3,제주시,연동,1,August,성수기
2023-08-01,제주 스테이인 성산,75000,2인,관광,344.0,500 미만,4.4,서귀포시,성산읍,1,August,성수기
2023-08-01,제주 스테이호텔,41400,2인,비지니스,95.0,500 미만,4.0,제주시,삼도이동,1,August,성수기
2023-08-01,제주 슬림호텔,64333,4인,비지니스,17.0,500 미만,3.9,제주시,이도이동,1,August,성수기
2023-08-01,제주 오리엔탈 호텔,185500,2인,5성급,723.0,500 이상,4.4,제주시,삼도이동,1,August,성수기
2023-08-01,제주 오션스퀘어,127500,2인,가족호텔,421.0,500 미만,4.7,서귀포시,성산읍,1,August,성수기
2023-08-01,제주 웨스턴 그레이스 호텔,68058,2인,비지니스,538.0,500 이상,4.6,서귀포시,강정동,1,August,성수기
2023-08-01,제주 유티에스 빌리지,190600,4인,가족호텔,8.0,500 미만,3.2,제주시,애월읍,1,August,성수기
2023-08-01,제주 이화호텔,60000,4인,관광,485.0,500 미만,4.2,제주시,용담이동,1,August,성수기
2023-08-01,제주 조이호텔 (구. R&T호텔),84900,4인,비지니스,194.0,500 미만,3.9,제주시,삼도이동,1,August,성수기
2023-08-01,제주 참피온 호텔,43667,2인,비지니스,94.0,500 미만,4.2,제주시,삼도일동,1,August,성수기
2023-08-01,제주 케이관광호텔,80000,4인,관광,95.0,500 미만,4.5,제주시,연동,1,August,성수기
2023-08-01,제주 토비스 콘도 (오션동),100000,2인,콘도,49.0,500 미만,3.5,제주시,애월읍,1,August,성수기
2023-08-01,제주 티라호텔,96965,2인,2성급,198.0,500 미만,4.8,서귀포시,성산읍,1,August,성수기
2023-08-01,제주 파인힐 호텔,56000,4인,3성급,171.0,500 미만,4.3,서귀포시,서귀동,1,August,성수기
2023-08-01,제주 팔레스호텔,74429,4인,3성급,561.0,500 이상,4.2,제주시,삼도이동,1,August,성수기
2023-08-01,제주 퍼시픽 호텔,165000,2인,4성급,20.0,500 미만,4.4,제주시,용담일동,1,August,성수기
2023-08-01,제주 하버호텔,77700,4인,2성급,317.0,500 미만,4.5,제주시,건입동,1,August,성수기
2023-08-01,제주 호텔 G,39000,2인,비지니스,150.0,500 미만,4.4,제주시,삼도일동,1,August,성수기
2023-08-01,"제주 휘슬락, BW 시그니처 컬렉션",160000,2인,4성급,2017.0,500 이상,4.5,제주시,건입동,1,August,성수기
2023-08-01,제주(애월) 마레보비치호텔,208500,4인,관광,184.0,500 미만,4.7,제주시,애월읍,1,August,성수기
